Molecule: ./Results/serine/a5.txt 
Step1: ['add'], Previous ligand: c1ccccc1, Changed ligand: Oc1ccccc1, New ligand: Oc1ccccc1 Score: tensor([0.5001])
Step25: ['add'], Previous ligand: CCCc1ccccc1OOC, Changed ligand: CCCc1c(C)cccc1OOC, New ligand: CCCc1c(C)cccc1OOC Score: tensor([0.7407])
Step26: ['add'], Previous ligand: CCCc1c(C)cccc1OOC, Changed ligand: COOc1cccc(C)c1CC(C)C, New ligand: COOc1cccc(C)c1CC(C)C Score: tensor([0.7649])
Step27: ['turn ring aromatic'], Previous ligand: COOc1cccc(C)c1CC(C)C, Changed ligand: COOC1CCCC(C)C1CC(C)C, New ligand: COOc1cccc(C)c1CC(C)C Score: tensor([0.7649])
Step28: ['change type'], Previous ligand: COOc1cccc(C)c1CC(C)C, Changed ligand: COOc1cccc(C)c1CC(C)C, New ligand: COOc1cccc(C)c1CC(C)C Score: tensor([0.7657])
Step29: ['switch'], Previous ligand: COOc1cccc(C)c1CC(C)C, Changed ligand: COOC1=C(CC(C)C)C(C)=CC=C[SH2]1, New ligand: COOc1cccc(C)c1CC(C)C Score: tensor([0.7657])
Step30: ['switch'], Previous ligand: COOc1cccc(C)c1CC(C)C, Changed ligand: COOC1=CC=CCC(C)=C1CC(C)C, New ligand: COOc1cccc(C)c1CC(C)C Score: tensor([0.7657])
Step31: ['form new ring'], Previous ligand: COOc1cccc(C)c1CC(C)C, Changed ligand: COOc1cccc2c1CC(C)(C)C2, New ligand: COOc1cccc(C)c1CC(C)C Score: tensor([0.7657])
Step32: ['add'], Previous ligand: COOc1cccc(C)c1CC(C)C, Changed ligand: CCOOc1cccc(C)c1CC(C)C, New ligand: CCOOc1cccc(C)c1CC(C)C Score: tensor([0.7633])
Step33: ['add'], Previous ligand: CCOOc1cccc(C)c1CC(C)C, Changed ligand: C=C1C=CC=C(OOCC)C1(C)CC(C)C, New ligand: CCOOc1cccc(C)c1CC(C)C Score: tensor([0.7633])
Step34: ['add'], Previous ligand: CCOOc1cccc(C)c1CC(C)C, Changed ligand: CCOOc1cccc(CC)c1CC(C)C, New ligand: CCOOc1cccc(C)c1CC(C)C Score: tensor([0.7633])
Step35: ['change type'], Previous ligand: CCOOc1cccc(C)c1CC(C)C, Changed ligand: CCOOc1cccc(C)c1CC(C)C, New ligand: CCOOc1cccc(C)c1CC(C)C Score: tensor([0.7628])
Step36: ['add'], Previous ligand: CCOOc1cccc(C)c1CC(C)C, Changed ligand: CCCOOc1cccc(C)c1CC(C)C, New ligand: CCCOOc1cccc(C)c1CC(C)C Score: tensor([0.7447])
Step37: ['turn ring aromatic'], Previous ligand: CCCOOc1cccc(C)c1CC(C)C, Changed ligand: CCCOOC1CCCC(C)C1CC(C)C, New ligand: CCCOOc1cccc(C)c1CC(C)C Score: tensor([0.7447])
Step38: ['remove'], Previous ligand: CCCOOc1cccc(C)c1CC(C)C, Changed ligand: CCOOc1cccc(C)c1CC(C)C, New ligand: CCOOc1cccc(C)c1CC(C)C Score: tensor([0.7647])
Step39: ['turn ring aromatic'], Previous ligand: CCOOc1cccc(C)c1CC(C)C, Changed ligand: CCOOC1CCCC(C)C1CC(C)C, New ligand: CCOOc1cccc(C)c1CC(C)C Score: tensor([0.7647])
Step40: ['switch'], Previous ligand: CCOOc1cccc(C)c1CC(C)C, Changed ligand: CCOOc1cccc(C)c1CCC(C)C, New ligand: CCOOc1cccc(C)c1CCC(C)C Score: tensor([0.7761])
Step41: ['turn ring aromatic'], Previous ligand: CCOOc1cccc(C)c1CCC(C)C, Changed ligand: CCOOC1CCCC(C)C1CCC(C)C, New ligand: CCOOC1CCCC(C)C1CCC(C)C Score: tensor([0.7764])
Step42: ['change type'], Previous ligand: CCOOC1CCCC(C)C1CCC(C)C, Changed ligand: CCNOC1CCCC(C)C1CCC(C)C, New ligand: CCOOC1CCCC(C)C1CCC(C)C Score: tensor([0.7764])
Step43: ['remove'], Previous ligand: CCOOC1CCCC(C)C1CCC(C)C, Changed ligand: COOC1CCCC(C)C1CCC(C)C, New ligand: CCOOC1CCCC(C)C1CCC(C)C Score: tensor([0.7764])
Step44: ['switch'], Previous ligand: CCOOC1CCCC(C)C1CCC(C)C, Changed ligand: CCOOC1CCCC(C)C1CCC(C)CC, New ligand: CCOOC1CCCC(C)C1CCC(C)C Score: tensor([0.7764])
Step45: ['move_junction'], Previous ligand: CCOOC1CCCC(C)C1CCC(C)C, Changed ligand: CCCCCC1C(C)CCCC1OOCC, New ligand: CCOOC1CCCC(C)C1CCC(C)C Score: tensor([0.7764])
Step46: ['change type'], Previous ligand: CCOOC1CCCC(C)C1CCC(C)C, Changed ligand: CCOCC1CCCC(C)C1CCC(C)C, New ligand: CCOOC1CCCC(C)C1CCC(C)C Score: tensor([0.7764])
Step47: ['add'], Previous ligand: CCOOC1CCCC(C)C1CCC(C)C, Changed ligand: C=C1C(S)CCC(OOCC)C1CCC(C)C, New ligand: CCOOC1CCCC(C)C1CCC(C)C Score: tensor([0.7764])
Step48: ['turn ring aromatic'], Previous ligand: CCOOC1CCCC(C)C1CCC(C)C, Changed ligand: CCOOc1cccc(C)c1CCC(C)C, New ligand: CCOOc1cccc(C)c1CCC(C)C Score: tensor([0.7752])
Step49: ['add'], Previous ligand: CCOOc1cccc(C)c1CCC(C)C, Changed ligand: Cc1cccc(OOC(C)N)c1CCC(C)C, New ligand: Cc1cccc(OOC(C)N)c1CCC(C)C Score: tensor([0.7963])
Step50: ['change type'], Previous ligand: Cc1cccc(OOC(C)N)c1CCC(C)C, Changed ligand: Cc1cccc(OOC(C)N)c1CCN(C)C, New ligand: Cc1cccc(OOC(C)N)c1CCC(C)C Score: tensor([0.7963])
Step51: ['remove'], Previous ligand: Cc1cccc(OOC(C)N)c1CCC(C)C, Changed ligand: Cc1cccc(OC(C)N)c1CCC(C)C, New ligand: Cc1cccc(OC(C)N)c1CCC(C)C Score: tensor([0.7694])
Step52: ['add'], Previous ligand: Cc1cccc(OC(C)N)c1CCC(C)C, Changed ligand: CC(C)CCc1c(CS)cccc1OC(C)N, New ligand: CC(C)CCc1c(CS)cccc1OC(C)N Score: tensor([0.7026])
Step53: ['remove'], Previous ligand: CC(C)CCc1c(CS)cccc1OC(C)N, Changed ligand: CC(C)Cc1c(CS)cccc1OC(C)N, New ligand: CC(C)CCc1c(CS)cccc1OC(C)N Score: tensor([0.7026])
Step54: ['remove'], Previous ligand: CC(C)CCc1c(CS)cccc1OC(C)N, Changed ligand: Cc1cccc(OC(C)N)c1CCC(C)C, New ligand: Cc1cccc(OC(C)N)c1CCC(C)C Score: tensor([0.7688])
Step55: ['switch'], Previous ligand: Cc1cccc(OC(C)N)c1CCC(C)C, Changed ligand: CSc1cccc(OC(C)N)c1CCC(C)C, New ligand: Cc1cccc(OC(C)N)c1CCC(C)C Score: tensor([0.7688])
Step56: ['add'], Previous ligand: Cc1cccc(OC(C)N)c1CCC(C)C, Changed ligand: Cc1cccc(OC(C)N)c1C(C)CC(C)C, New ligand: Cc1cccc(OC(C)N)c1CCC(C)C Score: tensor([0.7688])
Step57: ['change type'], Previous ligand: Cc1cccc(OC(C)N)c1CCC(C)C, Changed ligand: Cc1cccc(OC(C)N)c1CCC(C)C, New ligand: Cc1cccc(OC(C)N)c1CCC(C)C Score: tensor([0.7690])
Step58: ['add'], Previous ligand: Cc1cccc(OC(C)N)c1CCC(C)C, Changed ligand: CCCNC(C)Oc1cccc(C)c1CCC(C)C, New ligand: CCCNC(C)Oc1cccc(C)c1CCC(C)C Score: tensor([0.7958])
Step59: ['change type'], Previous ligand: CCCNC(C)Oc1cccc(C)c1CCC(C)C, Changed ligand: CCCNC(C)Oc1cccc(C)c1CCC(C)O, New ligand: CCCNC(C)Oc1cccc(C)c1CCC(C)O Score: tensor([0.7917])
Step60: ['add'], Previous ligand: CCCNC(C)Oc1cccc(C)c1CCC(C)O, Changed ligand: CCCNC(CS)Oc1cccc(C)c1CCC(C)O, New ligand: CCCNC(C)Oc1cccc(C)c1CCC(C)O Score: tensor([0.7917])
Step61: ['add'], Previous ligand: CCCNC(C)Oc1cccc(C)c1CCC(C)O, Changed ligand: C=C(C)CNC(C)Oc1cccc(C)c1CCC(C)O, New ligand: C=C(C)CNC(C)Oc1cccc(C)c1CCC(C)O Score: tensor([0.7971])
Step62: ['remove'], Previous ligand: C=C(C)CNC(C)Oc1cccc(C)c1CCC(C)O, Changed ligand: C=C(C)CNC(C)OC1=CCC(C)=C1CCC(C)O, New ligand: C=C(C)CNC(C)Oc1cccc(C)c1CCC(C)O Score: tensor([0.7971])
Step63: ['move_junction'], Previous ligand: C=C(C)CNC(C)Oc1cccc(C)c1CCC(C)O, Changed ligand: C=C(C)CNc1ccc(C)c(CCC(C)O)c1OCC, New ligand: C=C(C)CNc1ccc(C)c(CCC(C)O)c1OCC Score: tensor([0.8214])
Step64: ['add'], Previous ligand: C=C(C)CNc1ccc(C)c(CCC(C)O)c1OCC, Changed ligand: C=Cc1ccc(NCC(=C)C)c(OCC)c1CCC(C)O, New ligand: C=C(C)CNc1ccc(C)c(CCC(C)O)c1OCC Score: tensor([0.8214])
Step65: ['turn ring aromatic'], Previous ligand: C=C(C)CNc1ccc(C)c(CCC(C)O)c1OCC, Changed ligand: C=C(C)CNC1CCC(C)C(CCC(C)O)C1OCC, New ligand: C=C(C)CNc1ccc(C)c(CCC(C)O)c1OCC Score: tensor([0.8214])
Step66: ['add'], Previous ligand: C=C(C)CNc1ccc(C)c(CCC(C)O)c1OCC, Changed ligand: C=C(C)CNC1=C(OCC)C(N)(CCC(C)O)C(=C)C=C1, New ligand: C=C(C)CNc1ccc(C)c(CCC(C)O)c1OCC Score: tensor([0.8214])
Step67: ['change type'], Previous ligand: C=C(C)CNc1ccc(C)c(CCC(C)O)c1OCC, Changed ligand: C=C(C)CNc1ccc(C)c(CCC(C)O)c1OCC, New ligand: C=C(C)CNc1ccc(C)c(CCC(C)O)c1OCC Score: tensor([0.8209])
Step68: ['add'], Previous ligand: C=C(C)CNc1ccc(C)c(CCC(C)O)c1OCC, Changed ligand: C=C(C)CNc1ccc(C)c(CC(C)C(C)O)c1OCC, New ligand: C=C(C)CNc1ccc(C)c(CC(C)C(C)O)c1OCC Score: tensor([0.8125])
Step69: ['turn ring aromatic'], Previous ligand: C=C(C)CNc1ccc(C)c(CC(C)C(C)O)c1OCC, Changed ligand: C=C(C)CNC1CCC(C)C(CC(C)C(C)O)C1OCC, New ligand: C=C(C)CNc1ccc(C)c(CC(C)C(C)O)c1OCC Score: tensor([0.8125])
Step70: ['turn ring aromatic'], Previous ligand: C=C(C)CNc1ccc(C)c(CC(C)C(C)O)c1OCC, Changed ligand: C=C(C)CNC1CCC(C)C(CC(C)C(C)O)C1OCC, New ligand: C=C(C)CNc1ccc(C)c(CC(C)C(C)O)c1OCC Score: tensor([0.8125])
Step71: ['add'], Previous ligand: C=C(C)CNc1ccc(C)c(CC(C)C(C)O)c1OCC, Changed ligand: C=C(C)CNC1(C)C=CC(=C)C(CC(C)C(C)O)=C1OCC, New ligand: C=C(C)CNc1ccc(C)c(CC(C)C(C)O)c1OCC Score: tensor([0.8125])
Step72: ['remove ring'], Previous ligand: C=C(C)CNc1ccc(C)c(CC(C)C(C)O)c1OCC, Changed ligand: CCOCC(CC(C)C(C)O)C(C)CCCNCC(C)C, New ligand: C=C(C)CNc1ccc(C)c(CC(C)C(C)O)c1OCC Score: tensor([0.8125])
Step73: ['change type'], Previous ligand: C=C(C)CNc1ccc(C)c(CC(C)C(C)O)c1OCC, Changed ligand: C=C(C)CNc1ccc(C)c(CC(C)C(C)O)c1OCC, New ligand: C=C(C)CNc1ccc(C)c(CC(C)C(C)O)c1OCC Score: tensor([0.8136])
Step74: ['remove'], Previous ligand: C=C(C)CNc1ccc(C)c(CC(C)C(C)O)c1OCC, Changed ligand: C=CCNc1ccc(C)c(CC(C)C(C)O)c1OCC, New ligand: C=C(C)CNc1ccc(C)c(CC(C)C(C)O)c1OCC Score: tensor([0.8136])
Step75: ['add'], Previous ligand: C=C(C)CNc1ccc(C)c(CC(C)C(C)O)c1OCC, Changed ligand: CCOc1c(NCC(C)=C=O)ccc(C)c1CC(C)C(C)O, New ligand: CCOc1c(NCC(C)=C=O)ccc(C)c1CC(C)C(C)O Score: tensor([0.7985])
Step76: ['remove'], Previous ligand: CCOc1c(NCC(C)=C=O)ccc(C)c1CC(C)C(C)O, Changed ligand: CCOc1c(NCC(C)=C=O)ccc(C)c1C(C)C(C)O, New ligand: CCOc1c(NCC(C)=C=O)ccc(C)c1CC(C)C(C)O Score: tensor([0.7985])
Step77: ['move_junction'], Previous ligand: CCOc1c(NCC(C)=C=O)ccc(C)c1CC(C)C(C)O, Changed ligand: CCOc1c(NCC(C)=C=O)ccc(C)c1CC(C)OCC, New ligand: CCOc1c(NCC(C)=C=O)ccc(C)c1CC(C)OCC Score: tensor([0.7843])
Step78: ['remove'], Previous ligand: CCOc1c(NCC(C)=C=O)ccc(C)c1CC(C)OCC, Changed ligand: CCOC(C)Cc1c(C)ccc(NCC(C)=C=O)c1CC, New ligand: CCOC(C)Cc1c(C)ccc(NCC(C)=C=O)c1CC Score: tensor([0.7690])
Step79: ['remove'], Previous ligand: CCOC(C)Cc1c(C)ccc(NCC(C)=C=O)c1CC, Changed ligand: CCOC(C)c1c(C)ccc(NCC(C)=C=O)c1CC, New ligand: CCOC(C)c1c(C)ccc(NCC(C)=C=O)c1CC Score: tensor([0.7468])
Step80: ['remove'], Previous ligand: CCOC(C)c1c(C)ccc(NCC(C)=C=O)c1CC, Changed ligand: CCOC(C)C1=C(C)CC(NCC(C)=C=O)=C1CC, New ligand: CCOC(C)c1c(C)ccc(NCC(C)=C=O)c1CC Score: tensor([0.7468])
Step81: ['remove ring'], Previous ligand: CCOC(C)c1c(C)ccc(NCC(C)=C=O)c1CC, Changed ligand: CCOC(C)C(CC)C(CC)C(CC)NCC(C)CO, New ligand: CCOC(C)c1c(C)ccc(NCC(C)=C=O)c1CC Score: tensor([0.7468])
Step82: ['remove ring'], Previous ligand: CCOC(C)c1c(C)ccc(NCC(C)=C=O)c1CC, Changed ligand: CCCC(C(C)CCCNCC(C)CO)C(C)OCC, New ligand: CCOC(C)c1c(C)ccc(NCC(C)=C=O)c1CC Score: tensor([0.7468])
Step83: ['move_junction'], Previous ligand: CCOC(C)c1c(C)ccc(NCC(C)=C=O)c1CC, Changed ligand: CCOC(CNCC(C)=C=O)c1c(C)cccc1CC, New ligand: CCOC(C)c1c(C)ccc(NCC(C)=C=O)c1CC Score: tensor([0.7468])
Step84: ['switch'], Previous ligand: CCOC(C)c1c(C)ccc(NCC(C)=C=O)c1CC, Changed ligand: CCOC(C)c1c(C)ccc(NCCC(C)=C=O)c1CC, New ligand: CCOC(C)c1c(C)ccc(NCCC(C)=C=O)c1CC Score: tensor([0.6991])
Step85: ['change bond type'], Previous ligand: CCOC(C)c1c(C)ccc(NCCC(C)=C=O)c1CC, Changed ligand: CCOC(C)c1c(C)ccc(N=CCC(C)=C=O)c1CC, New ligand: CCOC(C)c1c(C)ccc(N=CCC(C)=C=O)c1CC Score: tensor([0.6863])
Step86: ['add'], Previous ligand: CCOC(C)c1c(C)ccc(N=CCC(C)=C=O)c1CC, Changed ligand: CCOC(C)c1c(C)cc(S)c(N=CCC(C)=C=O)c1CC, New ligand: CCOC(C)c1c(C)cc(S)c(N=CCC(C)=C=O)c1CC Score: tensor([0.7360])
Step87: ['change type'], Previous ligand: CCOC(C)c1c(C)cc(S)c(N=CCC(C)=C=O)c1CC, Changed ligand: CCON(C)c1c(C)cc(S)c(N=CCC(C)=C=O)c1CC, New ligand: CCON(C)c1c(C)cc(S)c(N=CCC(C)=C=O)c1CC Score: tensor([0.7417])
Step88: ['change bond type'], Previous ligand: CCON(C)c1c(C)cc(S)c(N=CCC(C)=C=O)c1CC, Changed ligand: CCON(C)c1c(C)cc(S)c(N=CCC(C)=C=O)c1CC, New ligand: CCON(C)c1c(C)cc(S)c(N=CCC(C)=C=O)c1CC Score: tensor([0.7417])
Step89: ['add'], Previous ligand: CCON(C)c1c(C)cc(S)c(N=CCC(C)=C=O)c1CC, Changed ligand: CCON(C)c1c(C)cc(S)c(N=CC(S)C(C)=C=O)c1CC, New ligand: CCON(C)c1c(C)cc(S)c(N=CC(S)C(C)=C=O)c1CC Score: tensor([0.7437])
Step90: ['add'], Previous ligand: CCON(C)c1c(C)cc(S)c(N=CC(S)C(C)=C=O)c1CC, Changed ligand: CCCCCc1c(N=CC(S)C(C)=C=O)c(S)cc(C)c1N(C)OCC, New ligand: CCON(C)c1c(C)cc(S)c(N=CC(S)C(C)=C=O)c1CC Score: tensor([0.7437])
Step91: ['add'], Previous ligand: CCON(C)c1c(C)cc(S)c(N=CC(S)C(C)=C=O)c1CC, Changed ligand: CCc1c(N=CC(S)C(C)=C=O)c(S)cc(C)c1N(C)OC(C)C, New ligand: CCON(C)c1c(C)cc(S)c(N=CC(S)C(C)=C=O)c1CC Score: tensor([0.7437])
Step92: ['turn ring aromatic'], Previous ligand: CCON(C)c1c(C)cc(S)c(N=CC(S)C(C)=C=O)c1CC, Changed ligand: CCON(C)C1C(C)CC(S)C(N=CC(S)C(C)=C=O)C1CC, New ligand: CCON(C)c1c(C)cc(S)c(N=CC(S)C(C)=C=O)c1CC Score: tensor([0.7437])
Step93: ['move_junction'], Previous ligand: CCON(C)c1c(C)cc(S)c(N=CC(S)C(C)=C=O)c1CC, Changed ligand: CCON(C)c1c(C)cc(S)c(N=CC(S)CC=C=O)c1CC, New ligand: CCON(C)c1c(C)cc(S)c(N=CC(S)C(C)=C=O)c1CC Score: tensor([0.7437])
Step94: ['add'], Previous ligand: CCON(C)c1c(C)cc(S)c(N=CC(S)C(C)=C=O)c1CC, Changed ligand: CCCON(C)c1c(C)cc(S)c(N=CC(S)C(C)=C=O)c1CC, New ligand: CCON(C)c1c(C)cc(S)c(N=CC(S)C(C)=C=O)c1CC Score: tensor([0.7437])
Step95: ['add'], Previous ligand: CCON(C)c1c(C)cc(S)c(N=CC(S)C(C)=C=O)c1CC, Changed ligand: CCON(C)c1c(C)cc(S)c(N=CC(S)C(C)=C=O)c1CCN, New ligand: CCON(C)c1c(C)cc(S)c(N=CC(S)C(C)=C=O)c1CC Score: tensor([0.7437])
Step96: ['add'], Previous ligand: CCON(C)c1c(C)cc(S)c(N=CC(S)C(C)=C=O)c1CC, Changed ligand: C=C1C=C(S)C(CCC)(N=CC(S)C(C)=C=O)C(CC)=C1N(C)OCC, New ligand: CCON(C)c1c(C)cc(S)c(N=CC(S)C(C)=C=O)c1CC Score: tensor([0.7437])
Step97: ['remove'], Previous ligand: CCON(C)c1c(C)cc(S)c(N=CC(S)C(C)=C=O)c1CC, Changed ligand: CCc1c(N=CC(S)C(C)=C=O)c(S)cc(C)c1N(C)OC, New ligand: CCON(C)c1c(C)cc(S)c(N=CC(S)C(C)=C=O)c1CC Score: tensor([0.7437])
Step98: ['remove'], Previous ligand: CCON(C)c1c(C)cc(S)c(N=CC(S)C(C)=C=O)c1CC, Changed ligand: CCONc1c(C)cc(S)c(N=CC(S)C(C)=C=O)c1CC, New ligand: CCONc1c(C)cc(S)c(N=CC(S)C(C)=C=O)c1CC Score: tensor([0.7665])
Step99: ['remove'], Previous ligand: CCONc1c(C)cc(S)c(N=CC(S)C(C)=C=O)c1CC, Changed ligand: CCNc1c(C)cc(S)c(N=CC(S)C(C)=C=O)c1CC, New ligand: CCONc1c(C)cc(S)c(N=CC(S)C(C)=C=O)c1CC Score: tensor([0.7665])
Step100: ['add'], Previous ligand: CCONc1c(C)cc(S)c(N=CC(S)C(C)=C=O)c1CC, Changed ligand: CCON=C1C(C)=CC(O)(S)C(N=CC(S)C(C)=C=O)=C1CC, New ligand: CCONc1c(C)cc(S)c(N=CC(S)C(C)=C=O)c1CC Score: tensor([0.7665])
Step101: ['move_junction'], Previous ligand: C=C(C)CNc1ccc(C)c(CCC(C)O)c1OCC, Changed ligand: C=CCCNc1ccc(C)c(CCC(C)O)c1OCC, New ligand: C=C(C)CNc1ccc(C)c(CCC(C)O)c1OCC Score: tensor([0.8214])
Step102: ['remove'], Previous ligand: C=C(C)CNc1ccc(C)c(CCC(C)O)c1OCC, Changed ligand: C=C(C)CNc1cccc(CCC(C)O)c1OCC, New ligand: C=C(C)CNc1ccc(C)c(CCC(C)O)c1OCC Score: tensor([0.8214])
Step103: ['switch'], Previous ligand: C=C(C)CNc1ccc(C)c(CCC(C)O)c1OCC, Changed ligand: C=C(C)CNCc1ccc(C)c(CCC(C)O)c1OCC, New ligand: C=C(C)CNc1ccc(C)c(CCC(C)O)c1OCC Score: tensor([0.8214])
Step104: ['add'], Previous ligand: C=C(C)CNc1ccc(C)c(CCC(C)O)c1OCC, Changed ligand: C=C(C)CN=C1C=CC(=C)C(=CCC(C)O)C1(C)OCC, New ligand: C=C(C)CNc1ccc(C)c(CCC(C)O)c1OCC Score: tensor([0.8214])
Step105: ['change type'], Previous ligand: C=C(C)CNc1ccc(C)c(CCC(C)O)c1OCC, Changed ligand: C=C(C)CNc1ccc(F)c(CCC(C)O)c1OCC, New ligand: C=C(C)CNc1ccc(C)c(CCC(C)O)c1OCC Score: tensor([0.8214])
Step106: ['remove'], Previous ligand: C=C(C)CNc1ccc(C)c(CCC(C)O)c1OCC, Changed ligand: C=C(C)CNC1=C(OCC)C(CCC(C)O)=C(C)C1, New ligand: C=C(C)CNc1ccc(C)c(CCC(C)O)c1OCC Score: tensor([0.8214])
Step107: ['form new ring'], Previous ligand: C=C(C)CNc1ccc(C)c(CCC(C)O)c1OCC, Changed ligand: C=C(C)CNc1ccc2c(c1OCC)CC(C(C)O)C2, New ligand: C=C(C)CNc1ccc2c(c1OCC)CC(C(C)O)C2 Score: tensor([0.8010])
Step108: ['add'], Previous ligand: C=C(C)CNc1ccc2c(c1OCC)CC(C(C)O)C2, Changed ligand: C=C(C)CNc1ccc2c(c1OC(=C)C)CC(C(C)O)C2, New ligand: C=C(C)CNc1ccc2c(c1OC(=C)C)CC(C(C)O)C2 Score: tensor([0.8003])
Step109: ['add'], Previous ligand: C=C(C)CNc1ccc2c(c1OC(=C)C)CC(C(C)O)C2, Changed ligand: C=C(C)Oc1c(NCC(C)=CP)ccc2c1CC(C(C)O)C2, New ligand: C=C(C)CNc1ccc2c(c1OC(=C)C)CC(C(C)O)C2 Score: tensor([0.8003])
Step110: ['remove'], Previous ligand: C=C(C)CNc1ccc2c(c1OC(=C)C)CC(C(C)O)C2, Changed ligand: C=C(C)Cc1ccc2c(c1OC(=C)C)CC(C(C)O)C2, New ligand: C=C(C)Cc1ccc2c(c1OC(=C)C)CC(C(C)O)C2 Score: tensor([0.7902])
Step111: ['switch'], Previous ligand: C=C(C)Cc1ccc2c(c1OC(=C)C)CC(C(C)O)C2, Changed ligand: C=C(C)COc1c(CC(=C)C)ccc2c1CC(C(C)O)C2, New ligand: C=C(C)COc1c(CC(=C)C)ccc2c1CC(C(C)O)C2 Score: tensor([0.8303])
Step112: ['add'], Previous ligand: C=C(C)COc1c(CC(=C)C)ccc2c1CC(C(C)O)C2, Changed ligand: C=C(C)COc1c(CC(=C)CO)ccc2c1CC(C(C)O)C2, New ligand: C=C(C)COc1c(CC(=C)C)ccc2c1CC(C(C)O)C2 Score: tensor([0.8303])
Step113: ['add'], Previous ligand: C=C(C)COc1c(CC(=C)C)ccc2c1CC(C(C)O)C2, Changed ligand: C=C(C)COc1c(CC(=C)C)c(S)cc2c1CC(C(C)O)C2, New ligand: C=C(C)COc1c(CC(=C)C)c(S)cc2c1CC(C(C)O)C2 Score: tensor([0.8410])
